,content
16,"Hi All,Could someone help me interpret the following hexagrams for me please?Some context.  X and I met and dated for about 3 months. Most loving and emotionally intimate relationship, even discussed marriage. Some stuff about X1. X had been hurt and betrayed by his ex and had lots of fears constantly keeping tabs on me and being posessive.2. X is extremely family oriented and crazy about his Mum, even cut short our first date to go home and cook for her and always put his family first over himself and our relationship. Cancelled many dates to attend to his family responsibilities.But still X was devoted, attentive and caring until the time when X disappeared without any contact on two occassions and then phone calls started declining but once resurfaced and told me he didn't want to break up with me and wanted to salvage things. Then I went home for Xmas and he wrote to me to come back quick. I come back and he cut off all contact with me, changed his phone number and vanished without any explanation leaving me emotionally devastated. I made several unsuccessful attempts to contact him and finally wrote him an email about what I thought of his cowardly actions and broke off. After months of weeping, I started moving on but felt I needed to seek answers. He still checks up on me and that confuses me because he makes no attempt to make contact or get back with me.Ive been writing emails to him lately about how Ive moved on but how much he hurt me and also the emotional feelings of our time together. So I asked iching:1.What will be the outcome of my  communication and is there any chance if X will talk and give me the answers I am seeking?Hexagram 5 unchanging2. Can I expect to happen anything at all between me and X in future and Is X still the ONE for me?Hexagram 24 unchanging3. Why did he leave me?Hexagram 57>44Ive been a former iching sceptic and always believed people in a relationship should talk to each other than consult iching. But ironically X has vanished and I can't have a one-sided chat. Im now humbled and seek iching for guidance. I seek interpretation to my readings. Pls help me understand."
17,"After recent events have contributed to further confuse things with a certain 'friend' of mine, I  thought of asking the iching what are the chances of this relationship ever developing into something romantic and got 32 changing to 16.I've had 32 with conflicting lines before, but these two puzzle me. As for hex 16, I'm not really an expert on it so i'd like to ask if anybody could contribute any thoughts!thanks a lot!"
18,So I asked how this guy I'm dating feels about me and got hexagram 31.2.4.6 to 57.Then I asked if he's in love with me and got hexagram 14 unchanging!What do you guys think? It's getting rather serious and I don't want my heart broken again...
19,"Hi everybody,I asked the I Ching if my recent friendship with someone I met a month ago has potential to become a love relationship. I got hexagram 31, changing lines 3 and 5. Future: Hexagram 16.I'll appreciate all of your insights!"
20,"Hello, I'm new here. Not sure if I'm doing it correctly. I just wanted to know what people can tell me about how they'd interpret 44 lines 2 and 3. My question was in reference to a potential boyfriend. I'd appreciate any advice. I can't find the interpetations for the lines anywhere. Thank you. Chloe."
21,"Good afternoon,A financial situation that keeps going around and around in circles has again cropped up - it's basically someone trying to make me responsible financially for a debt that is not mine.On top of that my bank account got compromised by an overseas charity organisation, who somehow managed to withdraw funds of mine without my permission.The bank has been notified and are dealing with it accordingly.I gave my landlord the rent and it got stolen out of his wallet which he left openly sitting in his unlocked car.In his anger he almost blamed me for him having cash in his wallet where usually he just shops electronically, like most people I guess.I have always paid him cash and he hasn't asked me to do otherwise.Just when I seem to be getting on top of things financially something seemingly crops up to stop that from happening.My question is what am I meant to be learning in regards to my present financial issueHex 45.3.5.6>56thku - personally I have no idea what this meansI then asked how can I become financially abundant   Hex 38.4.6>19Melissa"
22,"Hi all,I have been in a very long struggle to be with a man that I have loved for several years. We have been apart for over a year and a half because, though he is modern, his family is from a traditional culture in which many marriages are still arranged. I know he loves me, but we have not been able to communicate very much at all because he had gotten into an engagement at the pressure of his family which he subsequently broke.I am getting near the end of what I can handle, and I don't know what is happening yet. So, today I cast to the Yi hoping for some insight. I have been through so much (he as well) that I think that it is difficult for either of us to believe that there may be an end in sight, since only his mother is the obstacle for us coming together formally.  When I cast, I asked ""how does (he) feel about us?""I got this: Hexagram 1, 1.2.4>53I really didn't understand the 4th line particularly.  Does it mean he is wavering??? I know that his mother is still trying to get him to meet other girls (call it a gut feeling or based on experience) I am just so worn out from the situation, it is so hard to take anything positively )--though I am willing!)... I know he is not going to want to move without her blessings...Will his mother give her blessings to him for us?Hexagram 62.3>16Can you help?Thanks so much .... modest learner"
23,"Question: What do I need to consider regarding going into business with my friend in order to make this decision?I got Hexagram 14 (Great Possession) Changing Line: 9 in the fourth place Becoming Hexagram 26 (Big Livestock) I'm thinking this bodes well for us, but says we need to do our due diligence. Consider how much this is really going to cost, research other businesses like it...What do you think?"
24,Hello Iching community. I had a few questions for the I ching tonight regarding the same matter. This is a complicated situation and involves unrequited love in a way. A2 years ago when I was 16years old I met a guy a few years older than me from a friend weonly spoke over the phone emailed etc for about 2 months until we planned to meet in person. He was a match for me in almost every way or so I thought we ended up meeti.g and did not hit it off. I ended up drinking a bit to much and giving off a bad first impression. Things did not go as we had both expected and although we were attracted to eachother he felt like I was still young and had a lot to learn he ended things with me shortly after.  I kind of blocked out the experiance since it was so short lived but I continued to think about him sometimes very intensely. And in my heart I feel as if we met at the wrong time and since I've learned a lot and a lot of time had passed I decided to contact him he read the message about 4 days ago but has not replied which has given me the impression that he doesn't have any interest in speaking to me again but that didn't feel like the truth so I cast 3 questions for the I ching. What is the reason he hasn't answered my message I got hexagram 54 unchanging. Next I asked if there was anything I could do to get an answer from him if I should give up or pursue it once more I got hex 27. Last I asked if there would be any future contact between the 2 of us and what would I manifest if I kept on basicly more about what he might do in the future thinking maybe one day he might think about it and reply or maybe he is in the process of considering it. I got 51 turning to 30. And that last answer struck me the most I felt it the most in my heart. I would be very grateful to receive an interpretation or any type of advice. On the situation it is very close to my heart I've even been dreaming about him. Is this the end should I move on or perservere and stay on the path. Please help me ion any way possible and thankyou so much
25,"hi all,wonder if you could shed some light regarding the follow readings. its of vital importance to do some body workout for the next two months.  The alternatives I have is gym and swimming pool so I asked Yi to have an idea of which is the best choice.a. what if i choose Gym : 60.1.3 >48at a first glance is not a ""yeah! go for it"" answer . On th other hand, in a way also describes the resistance factor of gym equipment and also warns for setting correctly an appropriate work out program because going beyond those limits , only harm will be the result.  Both hex have water, but in 60 is limited and in 48 its usable or feasible under certain circumstances or when the necessary means are available ( a long rope or a good bucket) b. what if i choose Swimming pool : 14.1.3.4 >4 line 1 sound good because swimming is more safe than gum. Line 4 makes also sense because it describes , in the context of the question, a more centered approach. I fail to grasp line 3 and its meaning in this reading though. As for hex 4, I see it as highlighting the need for an instructor a one to one sessions. What I found also interesting in hex 4, is that some specific muscles are in a h4 state and perhaps, although not very satisfied with my interpretation, line  3 could talk about the assistance the stronger one could provide to the weaker one. my gut feeling says that swimming  pool alternative is better and by  research i have read is highly recommended but I have to admit that I'm pretty biased against gym, lol , so I wonder if i miss something here .Any idea, comment, interpretation will be appreciated.thanks in advance"
26,",,,Last edited: Mar 30, 2011"
27,".Last edited: Mar 30, 2011"
28,"Just a lovely follow up to all that's going on..I was sitting down with a friend just now and we were going over the ins and outs of all the last few weeks - and I was shaking my head in exasperation of it all really... then out of the blue her dog came in, walked right on over and delivered a neat pile of horse poo onto our laps that he was carrying - one each!!quite a lovely message... yup, **** happens, get on and get up! Hebe"
29,"Hello, gradually sorting my life out - in slow steps.  One thing that has now come up for attention is a buy to let property that my husband and I bought 18 months ago which I could either sell now or let out.  It has never been rented out before as the company that sold it to us rented it out as a showhome.  In beginning of June their lease runs out.  I did not want to get involved in this as I had a great fear of not being able to pay the mortgage and for some reason have always had huge anxiety about owning and dealing with property.  My knee jerk reaction was/is to sell the house so that I would have the money to reinvest in a property that I would actually want to live in - this is in a town that I have no wish to go back to now - long story.  I asked both:what can I expect from selling the house? (its on the market but hasn't got any interest yet even at a reduced price) and got hexagram 3: 3/6 - 37 and what can i expect from letting it & not selling ? and got 16:1/6 - 21.From what i can gather the letting would be the most favourable choice - but the relating hexagram of 37 is all about what I am most desiring right now - so maybe selling it and buying would be the best thing.  Am almost in a spin with so many things to think about, but its urgent because the agents have said its quite hard to sell once you have tenants in.  and as its a showhome its in good nic.  But I can't afford to have it empty just to sell it.  From those moving lines, could anyone put their opinions in?  thanks hebe."
30,"Hello everyone!For the past few weeks I've been through my usual ""crisis of faith"". I had posted in a previous thread about my trust issues and I've been working really hard on overcoming them. I actually thought I was doing really well until all of a sudden, without any real reason I found myself  thinking, doubting, questioning all over again. Whenever i get like this, I tend to project all my fears and anxieties onto my relationship. So once again my boyfriend is the unlucky victim of my ""paranoia"".I don't actually make any major scenes, but i become distant or even offensive and i do my best to push him away. As far as he is concerned, he has never done anything to make me feel this way and most of the time he is supportive and wants to talk it through, help me find out what's causing all this anxiety.. So today I had some quiet time and decided to have a conversation with the Yi. Some of it is clear to me but I would appreciate any input..Q1. ""Where is my relationship with X at the moment?""47.3>28  This one is pretty straightforward. I  perfectly understand the Oppression part.. And i do feel exausted as i am sure he does too.. And ofcourse 28..This is indeed stressfull for the both of us.Q2. ""In what direction is my relationship with X heading?"" 55.4.5>63  Ermm...Somewhere.. good.. i suppose? Not so sure about this one, although it does feel encouraging.(any ideas?)Q3. ""Concedering the above what would be the appropriate behaviour on my part      towards X?"" 21.6>51  LOL! Arabella's thread came to mind. So much easier when I give advice to others... This felt like the Yi was telling me off. So, there's something I refuse to listen to..OK.. And I guess the ""appropriate behaviour"" would be to simply ""open my ears"" (?). But..Q4 ""What am i not hearing?"" 57  This is the one that puzzled me the most. I think that 57 unchanged was the answer i expected the least.. I'm failing to listen to the wind? (the Wind of Change maybe?). I am not getting it. What is the actual advice of 57, other than ""be gentle"" or ""gently penetrating""? And how does that answer my question? Any suggestions? (Funny thing is we've had a couple of days with really strong winds where i live which only now seem to have calmed down..).55>63 and 57 are the ones i mostly need help with. However any thoughts are always welcome and helpful. They give a fresh, objective perspesctive and I could certainly use that!! Thank you all once again!LoveA.:bows:"
31,"Hello,I received this reading twice. Someone I am sort of seeing has had some bad news re a close family member. I was with him when it happened, so I left. We'd spent some time together, brief made briefer, but during much of that time there was awkwardness (due to negative thoughts swirling around my head adding to my inability to be relaxed but also perhaps awkwardness would perhaps have been there anyway even if I was a happy individual ie. maybe it's not right for either of us). But other times it was good. We have a lot in common and fancy each other, yet... perhaps it's all down to my social anxiety. I also think I betrayed some of my insecurity to him which may have put him off. And as a result of my issues  he may not feel he can get comfort from me at this time because I myself am not strong, and maybe wants to call it a day. Or perhaps where it really matters, we are just incompatible. Added to this too is physically going our separate ways fairly soon. But I know I have feelings for him, I'd still like to carry on. But, maybe I am more inclined to want that for my own peace of mind, perhaps regardless, because of the overall attraction? To protect my ego? Perhaps I'm in denial, or perhaps there's no such thing as perfect in relationships? We are both quite shy. Almost communicate better when not face to face  I have a feeling we can still be friends, but the subtext may be that it's over (the romance).I asked 'does he love me?' (bit dramatic I know but it came out...)43.2,5 > 55I then asked Why hasn't he been in touch yet? 43.2,5 > 55 (really I know the answer to this, the bad news was very recent so he's attending to that. And he's probably confused about me as I am about him (although I like him more I think (and I think he knows this), or maybe even want/need him more, than he does me (as he is happier in himself and better-adjusted).But it would be great if I could be a source of comfort to him in his time of need, but maybe my ego gets in the way. I also had this reading when asking 'What did he think of my behaviour when he saw me last'?: 50.3 Hilary: The vessel is being remade, and as its ‘ears’ – its carrying loops – are changed, it’s not yet ready to bemoved and used. This is like someone who is not open to connect with others. Even though there isgood within them, it remains inaccessible, so people go unnourished and immediate needs are not met.But this need not last. Rain will fall over all the fields of the realm, releasing tension and liberatingblocked potential; seeds stirred from their dormancy will begin to grow. Regrets diminish little by little,in this larger view and longer term. My views on 43.2,5 > 55: In this I see well, have no fear? I am in a bit of shock right now, so I feel quite calm. Also he didn't dump me per se, it was bad timing. Could be me I suppose - perhaps he hasn't gone off me completely? - or maybe it's about his reaction to his bad news. He doesn't want to cry out, doesn't want to talk about his fear re. his bad news. And perhaps he is removing weeds - me in this case, because maybe the awkwardness there isn't just teething troubles... he's clearing the ground so that he can see again (perhaps our 'failure' has eclipsed (depressed) us both. And then hex 55 reflecting his present darkness and confusion. The love has peaked. And he has decided that this is the case?Any reactions to this reading would be appreciated. :bows:"
32,"Hi,At the moments I seem to be having feelings of unhappiness yet I have plans I am very excited about.I guess I do have a number of frustrating situations around me but that's nothing new.Last night I went out dancing to some great music but I felt to joyless about it and came home utterly exhausted - emotionally or mentally or something.I asked what is causing me to feel unhappy  Hex 12.2>6Looks like frustrating situations around me that is causing me to feel down.So I asked how can I overcome these feelings of unhappinessHex 29.4.5.6>64Looks like have a glass of wine but be careful not to let the glass overflow and then what?thks appreciate your help cause I don't like feeling this wayMelissa x"
33,"So I decided to ask the Yi about this situation i'm in.I'm trying to promote a student group at my university. The group is a new one, and it's stands alone in it's own right. That is it's not a popular topic for most people. ""How can I make my group more successful?""Hexagram 55.3.4.5 -> 1955 Shows a climax. I don't think the group is in it's climax. I've just started it. The only climax I can think of is the amount of work it's been recently. This evening I had a meeting. Nobody showed up. I didn't really care because school and other things have been keeping me busy. I didn't promote the meeting this evening, as I was too lazy. Nonetheless flyers that I have passed out do show the meeting's time and place. It's hard to get anyone to give a **** about really anything, and even more hard to get them to show up and commit time and invest in doing something that pertains to it. Abundance seems to be more about me. I feel like there are just allot of things to do, and I don't even have the time or energy to work on this thing all the time. I don't want this group project to dominate my entire life. I have other things I'd like to do. Or perhaps it's saying this about the student population? Perhaps it's suggesting another time to schedule the meeting? Line 2: I have had people attack me for my group (the kinds of people who drive me personally to create this group in the first place) they have complained to staff members and i've received complaints about it. Suffice to say my group is one that doesn't meet the status quo, in fact it challenges it. Perhaps this line is also reflecting my lack of energy recently to really put much effort into it? Line 3: I think this line shows just how difficult the group idea and purpose is. Anyone can **** on it. But that is just the nature of the topic at hand or situation. Line 4: Seems to show some progress taking place. Perhaps me throwing the Yijing has helped shift things a bit... I often wondered if the Yijing doesn't just predict and advice but manifest. but I digress. This line seems to give some hope. Also in reflection of 55. I think it could suggest that I need to make many occasions to promote the group. Perhaps this is the true meaning. That I need to just promote the **** out of it. I haven't really done that. I've put up signs about it, passed out flyers a couple of times. It's expensive to make the flyers and one of my posters was lost. It's just a pain in the ass really. I care about the group, but I don't want to be a slave to it. This time I didn't promote the group at all, and nobody showed up. Last time a few people showed up... This I think is a element of what 55 means here. 19I think could signify a future progress, and probably also suggest the need to tolerate the reactions of the masses, and their disinterest. Any help in interpretations would be appreciated."
34,"So I finally did a divination on this situation that i've been unable to take much action in changing. I had someone who is somewhat a mentor to me, who has been a teacher to  me for about a decade, come up to me and disrespect me to my face. I did not really put up any fight, because he choose the time and place, and I had other things to do. For me it made no sense, and came from nowhere. I didn't know how to respond to it, So I just shook his hand and thanked him for his input. Things with this guy have often been edgy. Since then I have not spoken to him or seen him. It's almost been a year now. So I threw a divination and this is what I got:""Any advice to me on X?"" (x being the guy i'm talking about) 36.1.2.3.5.6 -> 59That is allot of change going on. Which I think can perhaps describe the intensity and difficulty of this situation aptly. Line 1: shows gossiping going on. Which is about me. He told me people were gossiping about me. Line 2: Perhaps illustrates the injury to the relationship? It appears it isn't fatal. That is, it can go on? Not sure. Line 3: Seems as though some kind of luck has gone in the direction of clearing things up. Not sure. Line 5: Perhaps shows me in my situation. I am stuck, and unconvinced by pretty much everything he said. Line 6: Some kind of downfall, of whatever that started this? Pretty dramatic line. 59Can represent a ending of a relationship, or perhaps it can represent a ending of a negative aspect to it. Not sure. ---So I was trying to ascertain what I should do. Weather I should continue with this guy or not. I have left the city of residence where I used to live. So I'm nowhere near him now. But this hexagram: 36 doesn't advice giving up. In fact I can't think of a hexagram that does. I think the major theme of 36 is persevere in adversity. as the judgement mentions. Any advice to interpreting this would be appreciated."
35,"I asked iching 'will my bf come back to me' because we are taking a break after a huge fight and I got 8.3.5. I was looking up the meaning for those lines at http://www.iching123.com/8_text.htm, and 8.3 says:""The one to be intimate and interdependent with is not the right partner"" I am wondering if that means my bf is not the Mr. right? Will the situation change over time? I mean maybe he will become the right person? 8.5 sounds quite positive. I am really confused. Could anyone please give me some thoughts?"
36,"Hi Everyone,How are all of you this fine/devastating/completely vivifying and ultimately beautiful in its chaotic nature March? I hope you guys are well and aren't suffering from any of the major cataclysmic events that have occurred in recent weeks.I'm taking it to next levels professionally right now. My lingerie company which I co-own with my designer friend just launched, it's going in nice directions. NOW I'm just focusing on my writing/editorial business (which is just me writing/making beautiful things with other creative collaborators) for a little while, 'cause at the end of the day I need to get out of my temp job (taking up too much time, too little money and it's WAY admin), do what I'm good at and what I love to do and get paid for it.Anyway, need to build a website immediately, totally on schedule, at the last leg, need to grind and just GET IT DONE; quick side note: completely incredible, when I asked the Yi what I needed to do to find more work I got 21 unchanging; get on the grind and finish the website, sometimes the Yi is so DIRECT it's SHOCKING!Anyway, in lieu of that answer, I asked: OK, once I overcome this website/resume obstacle, how likely is it that I'll find work through this creative agency? I got 42.4 to 25I interpreted it as, yeah, you've got a huge chance of just increasing business in general and more than likely you'll act as an intermediator (editor/writer/producer) yourself OR an intermediator will help YOU. What do you think? Will this agency find more work for me potentially, will others help me out *scratch your back, scratch mine situation*?Your advice is SO appreciated! Thank you so much! Hope you're having a wonderful day.--YM x"
37,"My love is going through a difficult time right now. He's never been a big talker and I've learned over time that pushing or pulling won't help the matter... I, however, need to communicate in order to help me through a healing process. This rough patch he's going through affects us both and I want to be there for him. He's defense mechanism is to shut out the world (including me) and he knows I suffer from this attitude, so he tries his best to acknowledge me and to communicate with me but still.. I hate this feeling of powerlessness.I asked ' How can I show him my support?' Hex 61.2.5 to 23 I think that in his time of need I need to find my own inner balanceSo that I can attune to my soulmateWe have a true and deep connectionLearn to strip away (appearances) and connect/ communicate on a deeper levelCould use some help with this one!"
38,"Hi Everyone,I started dating a guy a few weeks ago whom I met online.  We hit it off immediately and have gone on 2 dates.  There was a week between our first and second date, but he contacted me nearly every day during that period.  The second date was great, but when he dropped me off he said the next week was going to be busy and he would probably not be available until the following week, but that he definitely wants to go out again.  He also said he would like to stay in contact during this busy week.  Then, he followed up with a text message the next day saying he had a great time and was excited to go out again.  We ended up texting all day that day.  But since then, I've heard nothing.  It's been 3 days, AND I noticed he's been active on the dating site where we met.  Normally I wouldn't think it was a big deal that a few days have gone by without contact, but since he'd established a pattern of every day contact, I'm wondering how to interpret/handle the situation.  (NOTE: I'm terrible at knowing the ""rules"" of dating, so I just never know when/if something is a big deal or not) I asked the I Ching how to handle it and it gave me 21.4 Biting Through --> 27 Corners of the Mouth (Nourishment)Thoughts?"
