,title,user_name,number_of_views,number_of_comments,date_post,date_active
17,Subscriptions for My Ching are now on sale at myching.software,finnianr,537,0,"Apr 9, 2016","Apr 9, 2016"
18,Yijing Study Group in London...or from afar,tacrab,512,0,"Apr 8, 2016","Apr 8, 2016"
19,I Ching and particle physics,hilary,2000,3,"Jul 6, 2012","Mar 28, 2016"
0,New Resonance Journal version (from the blog),hilary,920,3,"Feb 19, 2016","Feb 23, 2016"
1,Interesting picture from the Qinghua Manuscripts,hmesker,3000,6,"Apr 16, 2014","Feb 11, 2016"
2,I Ching Society of New York - new discussion group/workshop based in NYC,deflatormouse,1000,1,"Dec 24, 2015","Jan 25, 2016"
3,New Video with english subtext,svenrus,1000,1,"Jan 2, 2016","Jan 14, 2016"
4,Giving readings more space (from the blog),hilary,658,0,"Dec 29, 2015","Dec 29, 2015"
5,New Edward Shaughnessy Yijing book just published,fyreflye,3000,8,"Apr 10, 2014","Dec 24, 2015"
6,The Genetic Bioinformatics of the I Ching,Ichingmaster,792,2,"Dec 20, 2015","Dec 21, 2015"
7,Just Published:  I Ching Mathematics for the King Wen Version,hsin,6000,21,"Nov 28, 2014","Dec 20, 2015"
8,New I Ching Website + Reviews of New I Ching Books,tacrab,1000,2,"Nov 19, 2015","Nov 23, 2015"
9,Hinton's Translation of the Yi is out and I hate it,cjgait,4000,19,"Oct 13, 2015","Nov 18, 2015"
10,‘Language of Change’ Yijing glossary (from the blog),hilary,993,0,"Nov 4, 2015","Nov 4, 2015"
11,Another I Ching application for Windows,bernie,838,0,"Oct 11, 2015","Oct 11, 2015"
12,An I-Ching app for Clarity members,brianfit,944,0,"Oct 3, 2015","Oct 3, 2015"
13,Change Circle changes & the Yijing Foundations Course (from the blog),hilary,2000,7,"Aug 15, 2015","Aug 24, 2015"
14,"Review: Stephen Field, The Duke of Zhou Changes (from the blog)",hilary,2000,6,"Aug 9, 2015","Aug 11, 2015"
15,"True Love, Jesus, Laozi and the I Ching",taoscopy,2000,8,"Jul 28, 2015","Aug 3, 2015"
16,News from Clarity (from the blog),hilary,2000,8,"Jul 10, 2015","Jul 13, 2015"
17,Sherril's lost book by harmen mesker,sergio,5000,10,"Apr 5, 2012","Jul 5, 2015"
18,Forest of Changes Translation,cjgait,2000,4,"Jun 5, 2015","Jun 25, 2015"
19,I Ching for the new age - Benson,butterfly spider,974,0,"May 18, 2015","May 18, 2015"
0,New I Chingbook,svenrus,2000,8,"Apr 12, 2015","May 18, 2015"
1,Plum Blossom Divination Android Apps,kenkie21,2000,4,"May 15, 2015","May 18, 2015"
2,Super IChing by Alex Chiu,highpriestess,3000,6,"Apr 9, 2015","Apr 10, 2015"
3,Lost in translation(s),Syrah70,3000,10,"Jan 23, 2015","Apr 7, 2015"
4,Hexagram Paintings  available as posters and prints,mythmaker,851,0,"Apr 7, 2015","Apr 7, 2015"
5,When the Yi Gets Some Press,themulberrytree,3000,8,"Feb 16, 2015","Feb 28, 2015"
6,another I Ching website,ctoz,2000,8,"Feb 17, 2015","Feb 18, 2015"
7,Clarity in 2015 (from the blog),hilary,1000,2,"Jan 31, 2015","Feb 2, 2015"
8,"Announcing: My Ching, the new I Ching journal software",finnianr,1000,1,"Nov 14, 2014","Jan 28, 2015"
9,Announcing: new Yijing/ dreams journal software coming in October,hilary,14000,63,"Jul 31, 2014","Jan 26, 2015"
10,the inherent organization of cycles within the binary of Yi Ching hexagrams,CicadasMantra,967,1,"Jan 25, 2015","Jan 25, 2015"
11,A new book from China: I Ching Codes Predicting The Future,xuesongyu,2000,3,"Sep 13, 2014","Jan 25, 2015"
12,The oldest source for the coin method,hmesker,2000,4,"Sep 29, 2014","Jan 25, 2015"
13,Some new tools for Yijing divination,hilary,6000,22,"Aug 24, 2014","Jan 17, 2015"
14,Anyone fond of james legge's yi king?,dharmamom,4000,10,"May 23, 2013","Jan 9, 2015"
15,I Ching Learning Book: The Wisdom of I Ching,xuesongyu,1000,3,"Oct 24, 2014","Jan 5, 2015"
16,Has anybody examined a copy of Khigh Dhiegh's 'The Golden Oracle'? (1985),AltVis8D,669,1,"Jan 2, 2015","Jan 2, 2015"
17,John Minford. Rewiev in Birocco,svenrus,2000,0,"Dec 19, 2014","Dec 19, 2014"
18,‘Enliven’ email course (from the blog),hilary,2000,3,"Dec 15, 2014","Dec 16, 2014"
19,working with (and arranging) electronic manuscipts,fabiogalassi,1000,3,"Nov 1, 2014","Nov 5, 2014"
0,New Book Trailer for the Toltec I Ching,hsin,821,0,"Oct 10, 2014","Oct 10, 2014"
1,Huffington Post I Ching Article,hsin,3000,12,"Sep 9, 2014","Sep 17, 2014"
2,"Steve Moore, RIP",Sparhawk,2000,5,"Mar 21, 2014","Sep 13, 2014"
3,Living Connection (from the blog),hilary,2000,10,"Sep 8, 2014","Sep 10, 2014"
4,MÙ JIĀNG MEETS WITH GÈN'S EIGHT [穆姜遇艮之八] translations' sightseeing,fabiogalassi,1000,10,"Sep 7, 2014","Sep 8, 2014"
5,I Ching Mathematics:  The Science of Change,hsin,2000,3,"Sep 2, 2014","Sep 3, 2014"
6,More Books,Daniel1357,928,2,"Aug 29, 2014","Aug 30, 2014"
7,Yijing (I Ching) Chinese/English Dictionary with Concordance and Translation,fyreflye,2000,7,"Mar 27, 2014","Aug 21, 2014"
8,I Ching Praxis by Ra Un Nefer Amen. The book and blogtalk show.,cassius_clay,4000,9,"Jun 11, 2014","Aug 15, 2014"
9,I Ching Worksheet,hilary,1000,0,"May 25, 2014","May 25, 2014"
10,Michael Puett's publications,hilary,1000,2,"May 1, 2014","May 2, 2014"
11,The Music from the Last Supper,Zimbali,619,0,"Apr 21, 2014","Apr 21, 2014"
12,"Change Circle Gathering, 22nd March (from the blog)",hilary,726,0,"Mar 13, 2014","Mar 13, 2014"
13,Translation notes,hmesker,925,1,"Mar 5, 2014","Mar 12, 2014"
14,New articles at liu dajun's site,sergio,1000,0,"Feb 17, 2014","Feb 17, 2014"
15,"Good versions in spanish, please !!",dharmamom,2000,10,"Aug 28, 2013","Feb 14, 2014"
16,"Liu Ming's ""CHANGING  Zhouyi: The Heart of the Yijing""",fyreflye,4000,6,"Jun 25, 2013","Feb 13, 2014"
17,I Ching for stock market divinations - free until 11th,hilary,3000,5,"Oct 9, 2013","Feb 9, 2014"
18,I Ching readings available for January (from the blog),hilary,567,0,"Jan 4, 2014","Jan 4, 2014"
19,The I Ching spiritual counselor software and booklet by Ra Un Nefer Amen.,cassius_clay,5000,7,"Mar 17, 2010","Dec 21, 2013"
0,Beautiful new edition of the I Ching,SubtleEnergies,2000,1,"Nov 6, 2013","Nov 7, 2013"
1,The Yi Jing Apocrypha of Genghis Khan,Brian Stern,2000,4,"Oct 28, 2013","Oct 29, 2013"
2,Yi Jing (I Ching) - the Book of Transformations is a free download in iBooks,mrlegowatch,4000,2,"Sep 20, 2013","Oct 29, 2013"
3,The Secret of Wen-Wang Gua by Jack Chiu,forty two,25000,39,"Jan 14, 2013","Oct 27, 2013"
4,New I Ching translation and new software to store the oracle answers,bernie,913,0,"Oct 21, 2013","Oct 21, 2013"
5,New movie: Richard Wilhelm and the changes by Bettina Wilhelm,svenrus,9000,22,"Jul 26, 2012","Oct 15, 2013"
6,"New Yi book and card deck on their way, *if*...",hilary,944,0,"Sep 11, 2013","Sep 11, 2013"
7,Denis Mair in Los Angeles,hilary,799,0,"Aug 22, 2013","Aug 22, 2013"
8,Half-price I Ching Readings Journal,hilary,818,1,"Aug 17, 2013","Aug 19, 2013"
9,Formation of the 64 images in the book of changes,sergio,792,0,"Aug 13, 2013","Aug 13, 2013"
10,I Ching and bagua charms,sergio,1000,0,"Jul 11, 2013","Jul 11, 2013"
11,A Christian Book of Changes,hajile44,10000,42,"Nov 18, 2012","Jul 10, 2013"
12,Preface to A Christian Interpretation of the I Ching,rogers4,768,0,"Jul 9, 2013","Jul 9, 2013"
13,Further excavations in the Tomb of Qinshihuang,svenrus,825,0,"Jul 4, 2013","Jul 4, 2013"
14,The Pivotal I Ching,hilary,4000,18,"Feb 3, 2013","Jun 19, 2013"
15,The Myths of Yü the Great and the Wheel of Rangarhverfi,hilary,1000,1,"Jun 13, 2013","Jun 14, 2013"
16,I Ching - Yijing Book Collection for Sale,bradford,1000,3,"May 12, 2013","Jun 6, 2013"
17,Yijing instructional videos by Ricardo Andreé (in Spanish),Sparhawk,2000,0,"May 31, 2013","May 31, 2013"
18,The Clear-Cut I Ching For Beginners by Master S.R. Chang,forty two,4000,7,"May 12, 2013","May 22, 2013"
19,Good I Ching articles in Italian,hilary,775,0,"May 13, 2013","May 13, 2013"
0,The Yi Dao Circlet (I Ching meditation beads) now available,cjgait,2000,4,"Apr 28, 2013","May 1, 2013"
1,Question about Wilhelm's hexagram lookup table,mrlegowatch,3000,7,"Apr 16, 2013","Apr 22, 2013"
2,RGH Siu The Portable Dragon,rickmatz,5000,13,"Mar 12, 2008","Apr 15, 2013"
3,Journal Software Survey: a quick request (from the blog),hilary,683,0,"Mar 30, 2013","Mar 30, 2013"
4,Clarity news: site upgrades (from the blog),hilary,502,0,"Mar 30, 2013","Mar 30, 2013"
5,New from Harmen: The Yijing as oracle bone’s sidekick – a study of ‘heng’ 亨,hilary,1000,0,"Feb 20, 2013","Feb 20, 2013"
6,jim dekone     gnostic i ching,stuart,3000,4,"Nov 16, 2012","Feb 16, 2013"
7,Wisdom Of Changes US Release date announcement,Lavalamp,723,0,"Feb 13, 2013","Feb 13, 2013"
8,For Mac users,hilary,941,0,"Jan 27, 2013","Jan 27, 2013"
9,YiJing (I Ching) Chinese/English Dictionary with Concordance and Translation,bernie,4000,9,"Sep 13, 2012","Dec 30, 2012"
10,Steve Marshall reviews Wilhelm's dvd,sergio,874,0,"Dec 26, 2012","Dec 26, 2012"
11,12-21-12 Solstice and Maya,lecubiste,920,0,"Dec 20, 2012","Dec 20, 2012"
12,Russian book on I Ching sequence,hilary,5000,8,"Jun 22, 2006","Dec 20, 2012"
13,The Classic of Changes in Cultural Context: A Textual Archaeology of the Yi jing,Sparhawk,5000,18,"Jul 31, 2012","Dec 17, 2012"
14,New I Ching books,hilary,6000,13,"Mar 18, 2008","Nov 4, 2012"
15,New Yijing forum board for italian speaking people,tiziano,2000,2,"Oct 24, 2012","Oct 27, 2012"
16,Stephen Karcher's new site,hilary,3000,3,"Jul 8, 2012","Oct 23, 2012"
17,Update on solar cycle method - Lecubiste,lecubiste,1000,2,"Oct 9, 2012","Oct 9, 2012"
18,New  Yijing Cards,hilary,2000,2,"Sep 26, 2012","Sep 27, 2012"
19,The I Ching deciphered- a review by Steve Moore,sergio,3000,10,"Aug 29, 2012","Sep 2, 2012"
0,Tracing the idea of time in the yi jing,sergio,2000,6,"Aug 17, 2012","Aug 29, 2012"
1,The Universality of the I Ching,lecubiste,2000,5,"Jun 18, 2012","Jul 20, 2012"
2,strategy and change,sergio,1000,1,"Jul 1, 2012","Jul 2, 2012"
3,The logic of change,sergio,1000,1,"Jun 29, 2012","Jun 29, 2012"
4,Two articles by Steve Moore available,Sparhawk,1000,2,"Jun 25, 2012","Jun 27, 2012"
5,Wenlin,heylise,2000,1,"Jun 7, 2012","Jun 20, 2012"
6,New articles from  liu da jun's site,sergio,1000,0,"Jun 13, 2012","Jun 13, 2012"
7,Carol Anthony's latest book,hilary,4000,3,"Sep 11, 2002","Jun 2, 2012"
8,Another method,lecubiste,2000,2,"May 20, 2012","May 26, 2012"
9,I Ching for CEOs and Investors,hilary,1000,1,"Apr 2, 2012","May 20, 2012"
10,Yijing Notes,hilary,2000,6,"May 6, 2012","May 7, 2012"
11,"""The Psyche Revealed Through The I Ching""",tripconey,2000,3,"Apr 30, 2012","May 5, 2012"
12,do you want to be able to understand www.superiching.com by alex chiu? then e mail me,meerkats64,6000,13,"Oct 27, 2011","May 3, 2012"
13,Seems I have missed a trick here...,hilary,2000,5,"Apr 14, 2012","Apr 17, 2012"
14,Richard J. Smith- keys concepts of fate and divination,sergio,1000,0,"Apr 10, 2012","Apr 10, 2012"
15,Yi Jing - Book of Changes app updated for iPad,mrlegowatch,13000,32,"Dec 7, 2010","Apr 6, 2012"
16,Richard Bertschinger in Yeovil,hilary,2000,5,"Apr 2, 2012","Apr 2, 2012"
17,Starting to offer readings,bradford,1000,0,"Mar 27, 2012","Mar 27, 2012"
18,Margaret Pearson in Cambridge on May 2nd,hilary,1000,0,"Mar 24, 2012","Mar 24, 2012"
19,Harmen's new site and reviews,hilary,117000,12,"Mar 5, 2012","Mar 14, 2012"
0,I Ching introduction in Birmingham,hilary,1000,0,"Mar 3, 2012","Mar 3, 2012"
1,"""Hon-Sho is not a horoscope...""",Sparhawk,3000,5,"Feb 20, 2012","Feb 21, 2012"
2,Check this out...,soga,2000,9,"Feb 15, 2012","Feb 20, 2012"
3,"Yijing, Shamanic Oracle of China: A New Book of Change",Sparhawk,2000,6,"Feb 13, 2012","Feb 15, 2012"
4,I Ching Chart: Princeton University Press,Sparhawk,4000,5,"Apr 18, 2011","Jan 27, 2012"
5,New Article on The Dao,bradford,2000,1,"Dec 10, 2011","Jan 21, 2012"
6,Margaret Pearson doing readings...,Sparhawk,18000,71,"May 25, 2011","Jan 7, 2012"
7,na jia method=superiching 2012 new folder(s),meerkats64,1000,0,"Dec 13, 2011","Dec 13, 2011"
8,New movie.,beyond_the_veil,2000,3,"Nov 21, 2011","Nov 21, 2011"
9,New Book:  Gua Ming: The Yijing Hexagram Names,bradford,5000,14,"Oct 31, 2011","Nov 21, 2011"
10,Updating the diviners' directory,hilary,3000,12,"Nov 2, 2011","Nov 13, 2011"
11,I Ching in 3D,urunc,3000,9,"Oct 16, 2011","Oct 21, 2011"
12,I Ching and society,hilary,2000,6,"Oct 13, 2011","Oct 16, 2011"
13,"Yi-globe, new version",dryjoe,2000,1,"Oct 13, 2011","Oct 13, 2011"
14,New Yixue Bibliography,bradford,3000,3,"Jul 15, 2011","Oct 6, 2011"
15,The Pocket I Ching Oracle,russell,2000,0,"Jul 13, 2011","Jul 13, 2011"
16,H.51 Chen - Art by Michael Forrest,charly,3000,1,"Jul 11, 2011","Jul 11, 2011"
17,The Zhouyi text of the Takashima Ekidan online,russell,3000,1,"Jul 4, 2011","Jul 11, 2011"
18,yijing probability chart symmetry,peterg,6000,10,"Nov 20, 2010","Jul 8, 2011"
19,'Pushing Upward' - watch this space,hilary,2000,2,"Jun 23, 2011","Jun 23, 2011"
0,"""I Ching Prescriptions"" by Adele Aldridge",Sparhawk,6000,11,"May 2, 2011","May 4, 2011"
1,A new Yijing translation,Sparhawk,5000,10,"May 1, 2011","May 3, 2011"
2,I Ching Poetry Engine,rodaki,4000,5,"Nov 6, 2009","Apr 28, 2011"
3,"""Change in a parallel world""",Sparhawk,2000,0,"Apr 22, 2011","Apr 22, 2011"
4,« Deviner l’Inconscient »,Sparhawk,5000,9,"Feb 6, 2009","Apr 17, 2011"
5,EST Consulting,Sparhawk,2000,1,"Apr 10, 2011","Apr 16, 2011"
